id,year,title,rating,pass
4409,1909,Princess Nicotine; or. The Smoke Fairy,2,0
5635,1909,Devilish Tenant. The,0,0
5685,1910,A Trip to Mars,0,0
1464,1910,Tilly the Tomboy Visits the Poor,3,1
4983,1910,Mobilier fidele,0,0
2003,1912,Cleopatra,2,0
5357,1912,Max and the Donkey,0,0
2005,1912,Invaders. The,0,0
5364,1913,Voyage of the Bourrichon Family. The,0,0
5915,1913,Suspense,0,0
4457,1914,A Florida Enchantment,2,0
1258,1915,Birth of a Nation. The,2,0
2014,1916,Lady Windermere&#39;s Fan,3,1
5368,1916,Vagabond. The,0,0
7004,1916,Snow White,3,1
5944,1916,Intolerance: Love&#39;s Struggle Throughout the Ages,0,0
2008,1916,Gretchen the Greenhorn,3,1
1981,1917,A Tale of Two Cities,3,1
2019,1917,Raffles. the Amateur Cracksman,2,0
1994,1917,Poor Little Rich Girl. The,3,1
2015,1917,A Romance of the Redwoods,0,0
1993,1917,Rebecca of Sunnybrook Farm,3,1
1996,1918,Tarzan of the Apes,3,1
5441,1918,Are Crooks Dishonest?,0,0
7108,1918,Ich mochte kein Mann sein,3,1
2007,1918,Stella Maris,3,1
2588,1919,Broken Blossoms or The Yellow Man and the Girl,0,0
2018,1919,When the Clouds Roll by,3,1
5948,1920,Within Our Gates,3,1
1991,1920,Pollyanna,3,1
1306,1920,Cabinet of Dr. Caligari. The,0,0
1263,1921,Orphans of the Storm,3,1
4204,1921,Blot. The,3,1
3945,1921,Kid. The,0,0
5898,1921,K&ouml;rkarlen (The Phantom Carriage),2,0
1631,1922,Phantom. The,2,0
1778,1922,Nathan der Weise,2,0
5361,1922,Paleface. The,0,0
5967,1922,Dr. Mabuse. der Spieler - Ein Bild der Zeit,3,1
5958,1922,Foolish Wives,3,1
2001,1922,Man from Beyond. The,1,0
1307,1922,Nosferatu. eine Symphonie des Grauens,2,0
3800,1922,H&auml;xan: Witchcraft Through the Ages,3,1
5901,1922,Nanook of the North,1,0
5949,1923,Our Hospitality,0,0
1967,1923,Why Worry?,0,0
1998,1923,Silent Command. The,2,0
8947,1923,A Woman of Paris,2,0
5888,1923,La souriante Madame Beudet,3,1
1961,1923,Safety Last!,0,0
2413,1924,Great White Silence. The,0,0
1960,1924,Wild Oranges,0,0
1337,1924,Die Nibelungen,2,0
2020,1924,Manhandled,3,1
2009,1924,Navigator. The,0,0
2016,1924,Girl Shy,0,0
8458,1924,Greed,3,1
1264,1924,Thief of Bagdad. The,0,0
2011,1924,Sherlock Jr.,0,0
6209,1924,Help!,0,0
1338,1924,Kriemhild&#39;s Revenge,2,0
1309,1925,Gold Rush. The,0,0
1978,1925,Go West,0,0
1305,1925,Phantom of the Opera. The,2,0
1308,1925,Battleship Potemkin,0,0
5962,1925,Big Parade. The,2,0
3077,1925,Seven Chances,0,0
2012,1925,Freshman. The,0,0
5991,1925,Stachka,0,0
5514,1925,Lost World. The,2,0
1334,1926,Temptress. The,1,0
1966,1926,For Heaven&#39;s Sake,0,0
5974,1926,Die Abenteuer des Prinzen Achmed,1,0
3217,1926,So&#39;s Your Old Man,3,1
1310,1926,General. The,0,0
1260,1926,Flesh and the Devil,1,0
1982,1927,Nevada,0,0
1964,1927,Kid Brother. The,0,0
2010,1927,My Best Girl,3,1
1227,1927,It,3,1
1312,1927,Abel Gance&#39;s Napoleon,2,0
5975,1927,Jazz Singer. The,1,0
1311,1927,Unknown. The,0,0
1632,1927,Sunrise: A Song of Two Humans,2,0
1267,1927,Metropolis,1,0
7324,1927,Downhill [When Boys Leave Home],1,0
3118,1927,Wings,1,0
2021,1928,Man Who Laughs. The,2,0
1971,1928,Steamboat Bill. Jr.,0,0
2017,1928,While the City Sleeps,2,0
5912,1928,Crowd. The,1,0
2013,1928,Patsy. The,3,1
1963,1928,Speedy,0,0
1970,1928,Cameraman. The,0,0
1977,1928,Beggars of Life,0,0
1980,1928,A Girl in Every Port,0,0
1314,1928,Passion of Joan of Arc. The,0,0
5984,1928,Docks of New York. The,2,0
9314,1928,Our Dancing Daughters,2,0
1972,1928,Racket. The,0,0
1979,1928,Power of the Press. The,1,0
1968,1928,Circus. The,0,0
3897,1929,Man with a Movie Camera,0,0
5979,1929,Blackmail,2,0
1953,1929,Cocoanuts. The,2,0
6046,1929,Throw of the Dice,0,0
7287,1929,Juno and the Paycock [The Shame of Mary Boyle],3,1
1962,1929,Welcome Danger,0,0
2324,1929,Pandora&#39;s Box (Die B&uuml;chse der Pandora),3,1
8464,1929,Broadway Melody,3,1
1313,1929,Un chien andalou,0,0
3713,1930,Ladies of Leisure,3,1
1316,1930,All Quiet on the Western Front,0,0
3871,1930,L&#39;Age d&#39;Or,0,0
8463,1930,Animal Crackers,3,1
3865,1930,Morocco,1,0
1326,1930,Anna Christie,3,1
1315,1930,Blue Angel. The,1,0
4253,1930,Be Yourself,2,0
7291,1930,Murder!,3,1
6782,1930,Bat Whispers. The,3,1
3927,1930,Min and Bill,3,1
1327,1931,Anna Christie,3,1
1828,1931,Indiscreet,3,1
8467,1931,Cimarron,3,1
6043,1931,Little Caesar,1,0
1985,1931,Dracula,2,0
628,1931,M&auml;dchen in Uniform,3,1
8213,1931,Dracula,3,1
6031,1931,A Nous la Liberte,1,0
610,1931,M,3,1
5934,1931,Public Enemy. The,3,1
7296,1931,Rich and Strange [East of Shanghai],2,0
1974,1931,Pardon Us,0,0
1956,1931,Last Flight. The,0,0
1333,1931,Mata Hari,3,1
8557,1931,Hyppolit a lakaj,1,0
1633,1931,Tabu: A Story of the South Seas,0,0
6030,1931,La Chienne,3,1
9110,1931,Champ. The,1,0
5741,1931,Cheat. The,3,1
2705,1931,City Lights,3,1
9095,1931,Skippy,3,1
4243,1931,Smiling Lieutenant. The,2,0
7294,1931,Skin Game. The,3,1
1317,1931,Frankenstein,1,0
2384,1931,Monkey Business,1,0
636,1931,Night Nurse,3,1
5783,1932,Girl from Calgary. The,2,0
6990,1932,Blue Light (Das Blaue Licht). The,1,0
6051,1932,Three on a Match,3,1
2383,1932,Horse Feathers,1,0
6852,1932,Thirteen Women,3,1
5742,1932,Merrily We Go to Hell,3,1
2550,1932,White Zombie,0,0
3844,1932,Island of Lost Souls,1,0
3659,1932,Freaks,2,0
3530,1932,I Was Born. But...,1,0
1318,1932,I Am a Fugitive from a Chain Gang,1,0
5929,1932,Shanghai Express,3,1
6176,1932,Death Kiss. The,1,0
2767,1932,Boudu Saved from Drowning,1,0
1983,1932,Age of Consent. The,2,0
5910,1932,Vampyr,3,1
3658,1932,Most Dangerous Game. The,0,0
1328,1932,Grand Hotel,3,1
6063,1932,Scarface,1,0
4775,1932,Old Dark House. The,3,1
6052,1932,Love Me Tonight,2,0
7301,1932,Number 17,0,0
6092,1932,Red-Headed Woman,3,1
5916,1933,Gold Diggers of 1933,3,1
5185,1933,Duck Soup,1,0
6205,1933,Peanut Vendor. The,0,0
4335,1933,42nd Street,3,1
6193,1933,A Study in Scarlet,3,1
1330,1933,Queen Christina,3,1
3210,1933,Vampire Bat. The,3,1
2229,1933,King Kong,0,0
1248,1933,Private Life of Henry VIII.. The,1,0
8346,1933,Design for Living,1,0
5752,1933,Tomorrow at Seven,3,1
3188,1933,Alice in Wonderland,3,1
2231,1933,Little Women,3,1
6056,1933,Female,3,1
7450,1933,Invisible Man. The,1,0
802,1933,Footlight Parade,3,1
8477,1933,Cavalcade,3,1
5029,1933,Day of Reckoning,3,1
7528,1933,Baby Face,3,1
7304,1934,Man Who Knew Too Much. The,3,1
1270,1934,Cleopatra,1,0
621,1934,It Happened One Night,3,1
4443,1934,Spitfire,3,1
1795,1934,L&#39;atalante,0,0
4702,1934,Maniac,3,1
5523,1934,Lost in the Stratosphere,2,0
7999,1934,Imitation of Life,3,1
1329,1934,Painted Veil. The,1,0
1325,1934,Scarlet Empress. The,3,1
5821,1934,Search for Beauty,3,1
1969,1934,Lost Patrol. The,0,0
1379,1934,Of Human Bondage,1,0
6772,1934,Evelyn Prentice,3,1
1246,1934,Count of Monte Cristo. The,1,0
8653,1934,Mystery Liner,0,0
1324,1934,Cat&#39;s-Paw. The,1,0
5319,1934,Anne of Green Gables,3,1
5750,1935,Lady in Scarlet. The,2,0
2362,1935,Roberta,3,1
1685,1935,Naughty Marietta,3,1
3881,1935,A Night At The Opera,1,0
595,1935,Top Hat,2,0
1261,1935,Anna Karenina,2,0
7998,1935,Mad Love,2,0
1361,1935,Mutiny on the Bounty,1,0
2756,1935,Magnificent Obsession,3,1
3891,1935,Bride of Frankenstein. The,3,1
5913,1935,Riverside Murder. The,2,0
1242,1935,39 Steps. The,3,1
3560,1936,Only Son. The,3,1
1360,1936,Wife vs. Secretary,2,0
6096,1936,Fury,2,0
1323,1936,Modern Times,0,0
596,1936,Swing Time,1,0
4143,1936,Bullets or Ballots,3,1
1992,1936,Mr. Deeds Goes to Town,3,1
2554,1936,Revolt of the Zombies,0,0
5926,1936,Sabotage,3,1
6174,1936,Murder at Glen Athol,3,1
2699,1936,Earthworm Tractors,1,0
1359,1936,San Francisco,1,0
4010,1936,Pennies from Heaven,3,1
3280,1936,Theodora Goes Wild,3,1
3401,1936,Great Ziegfeld. The,3,1
1237,1936,Charge of the Light Brigade. The,1,0
7992,1936,Dracula&#39;s Daughter,3,1
3548,1936,Mandarin Mystery. The,3,1
5852,1936,My Man Godfrey,2,0
1369,1936,Petrified Forest. The,3,1
7227,1936,These Three,2,0
2853,1936,Osaka Elegy,3,1
6210,1936,Il caso Valdemar,0,0
2363,1936,Born to Dance,3,1
4069,1936,Romeo and Juliet,3,1
7308,1936,Secret Agent,3,1
3598,1936,Camille,3,1
5617,1937,Murder at the Baskervilles (Silver Blaze),1,0
795,1937,Stella Dallas,3,1
7877,1937,Marked Woman,3,1
3968,1937,Nothing Sacred,0,0
631,1937,Stage Door,3,1
7317,1937,Girl Was Young. The,3,1
1244,1937,Knight Without Armor,2,0
2382,1937,A Day at the Races,2,0
1336,1937,Lost Horizon,2,0
1240,1937,Prisoner of Zenda. The,1,0
8478,1937,Life of Emile Zola. The,1,0
6554,1937,Awful Truth. The,3,1
1358,1937,Parnell,2,0
1332,1937,Conquest,2,0
1976,1937,Snow White and the Seven Dwarfs,3,1
1335,1937,Topper,2,0
5740,1937,Pepe le Moko,2,0
597,1937,Shall We Dance,1,0
4255,1937,Make Way for Tomorrow,3,1
8473,1937,Bizarre. Bizarre,3,1
1367,1938,Jezebel,2,0
2590,1938,Mr. Wong. Detective,1,0
1238,1938,Dawn Patrol. The,0,0
2467,1938,Boys Town,0,0
6042,1938,Baker&#39;s Wife. The,1,0
620,1938,Lady Vanishes. The,3,1
994,1938,Holiday,3,1
3283,1938,Bluebeard&#39;s Eighth Wife,2,0
4495,1938,Mad Miss Manton. The,3,1
3400,1938,Bringing Up Baby,3,1
594,1938,Carefree,2,0
3103,1938,Adventures of Robin Hood. The,2,0
3951,1938,Four Daughters,3,1
7290,1938,Angels with Dirty Faces,1,0
1378,1938,Sisters. The,2,0
593,1939,Stagecoach,3,1
1385,1939,Story of Alexander Graham Bell. The,2,0
2622,1939,Mr. Wong in Chinatown,1,0
1245,1939,Goodbye. Mr. Chips,2,0
1259,1939,Ninotchka,3,1
2851,1939,Of Mice and Men,1,0
1370,1939,Dark Victory,3,1
2372,1939,At the Circus,2,0
5634,1939,Destry Rides Again,3,1
174,1939,Wizard of Oz. The,3,1
1384,1939,Drums Along the Mohawk,2,0
3723,1939,Babes in Arms,3,1
2086,1939,Hunchback of Notre Dame. The,0,0
383,1939,Dodge City,2,0
3089,1939,Rules of the Game. The,3,1
5863,1939,Adventures of Sherlock Holmes. The,3,1
8511,1939,Gulliver&#39;s Travels,0,0
5763,1939,Nancy Drew... Reporter,3,1
588,1939,Women. The,3,1
8098,1939,Le jour se l&egrave;ve,2,0
7322,1939,Jamaica Inn,3,1
1973,1939,Flying Deuces. The,0,0
1383,1939,Jesse James,2,0
9038,1939,Love Affair,3,1
1368,1939,Juarez,2,0
1239,1939,Wuthering Heights,2,0
1382,1939,Young Mr. Lincoln,2,0
5946,1939,Mr. Smith Goes to Washington,2,0
291,1939,Gone with the Wind,3,1
2555,1939,Gorilla. The,3,1
1371,1939,Essex and Elizabeth,2,0
4943,1940,Philadelphia Story. The,3,1
7311,1940,Foreign Correspondent,1,0
7861,1940,Shop Around the Corner. The,3,1
1356,1940,Boom Town,1,0
2678,1940,Santa Fe Trail,1,0
3033,1940,His Girl Friday,3,1
1366,1940,Return of Frank James. The,0,0
4257,1940,Pride and Prejudice,3,1
1373,1940,All This. and Heaven Too,2,0
1380,1940,Letter. The,2,0
1355,1940,Comrade X,2,0
1387,1940,Grapes of Wrath. The,3,1
3050,1940,Sea Hawk. The,3,1
1265,1940,Thief of Bagdad. The,0,0
4363,1940,Chamber of Horrors / Door with the Seven Locks,2,0
1501,1940,Mortal Storm. The,3,1
478,1940,Pinocchio,1,0
5773,1940,Gaslight,3,1
5039,1940,Fantasia,0,0
2556,1940,Ape. The,3,1
5320,1940,Anne Of Windy Poplars,3,1
4415,1940,Dance. Girl. Dance,3,1
4354,1940,Primrose Path,3,1
1357,1940,Strange Cargo,0,0
3470,1940,Great Dictator. The,3,1
5802,1940,Last Alarm. The,3,1
618,1940,Rebecca,3,1
8480,1940,Knute Rockne All American,1,0
1975,1940,A Chump at Oxford,0,0
6171,1941,Murder by Invitation,3,1
8625,1941,Sun valley serenade,0,0
1266,1941,Citizen Kane,1,0
8983,1941,How Green Was My Valley,3,1
1941,1941,Mr. Bug Goes to Town,1,0
1230,1941,Maltese Falcon. The,1,0
4359,1941,Sullivan&#39;s Travels,3,1
9025,1941,Reluctant Dragon. The,3,1
7329,1941,Suspicion,3,1
2436,1941,Wolf Man. The,2,0
9192,1941,King of the Zombies,3,1
1372,1941,Little Foxes. The,2,0
6318,1941,Ladies In Retirement,1,0
1512,1941,Shanghai Gesture. The,3,1
2446,1941,Cheers for Miss Bishop,3,1
1386,1941,Lady Eve. The,2,0
2910,1941,Hold That Ghost,3,1
2468,1941,Men of Boys Town,1,0
2410,1941,High Sierra,1,0
2906,1941,Buck Privates,3,1
1331,1941,Two-Faced Woman,2,0
1682,1941,Devil and Miss Jones. The,3,1
2867,1941,49th Parallel,0,0
3717,1941,Meet John Doe,3,1
1117,1941,Dumbo,2,0
3875,1942,Tales of Manhattan,2,0
681,1942,Major and the Minor. The,3,1
689,1942,Now. Voyager,3,1
3789,1942,There Was a Father,0,0
1388,1942,Son of Fury: The Story of Benjamin Blake,1,0
1116,1942,Bambi,1,0
3518,1942,Black Dragons,0,0
7697,1942,Corpse Vanishes. The,1,0
5303,1942,To Be or Not to Be,0,0
5859,1942,Sherlock Holmes and the Secret Weapon,1,0
1076,1942,Casablanca,1,0
4870,1942,Woman of the Year,3,1
7696,1942,Saludos Amigos,0,0
1289,1942,Magnificent Ambersons. The,2,0
2708,1942,Cat People,3,1
1686,1942,I Married an Angel,3,1
5939,1942,Saboteur,1,0
1675,1942,For Me and My Gal,3,1
6384,1942,Mrs. Miniver,3,1
4475,1942,Man Who Came to Dinner. The,3,1
3890,1943,Le Corbeau: The Raven,3,1
1374,1943,Old Acquaintance,3,1
8501,1943,China,3,1
5554,1943,Fires Were Started,0,0
6781,1943,Jane Eyre,3,1
3753,1943,Day of Wrath,3,1
4617,1943,Shadow of a Doubt,3,1
1988,1943,Guadalcanal Diary,0,0
8801,1943,Ossessione,1,0
1691,1943,Girl Crazy,1,0
7834,1943,Angels of Sin,3,1
3839,1943,Life and Death of Colonel Blimp. The,2,0
1959,1943,Sky&#39;s the Limit. The,1,0
6315,1943,So Proudly We Hail!,3,1
7475,1943,La main du diable,1,0
5209,1943,Cry &#39;Havoc&#39;,3,1
1987,1943,Sahara,0,0
7410,1943,More the Merrier. The,1,0
1955,1943,I Walked with a Zombie,3,1
2407,1943,Tender Comrade,3,1
8090,1943,Seventh Victim. The,3,1
1375,1943,Watch on the Rhine,3,1
4699,1943,Judo Saga (Sanshiro Sugata),0,0
6310,1943,Ox-Bow Incident. The,1,0
5983,1944,Lifeboat,3,1
9270,1944,Uninvited. The,3,1
4698,1944,Most Beautiful (Ichiban utsukushiku). The,3,1
2181,1944,Window in the Window,1,0
3134,1944,Cover Girl,3,1
6319,1944,Three Caballeros. The,0,0
201,1944,Arsenic and Old Lace,3,1
1376,1944,Mr. Skeffington,2,0
2045,1944,Torment,0,0
1416,1944,Double Indemnity,3,1
3279,1944,I&#39;ll Be Seeing You,3,1
1676,1944,Meet Me in St. Louis,3,1
6515,1944,A Canterbury Tale,3,1
1683,1944,Hail the Conquering Hero,2,0
6420,1944,Minstrel Man,1,0
3245,1944,To Have and Have Not,3,1
2715,1944,Laura,3,1
4222,1944,National Velvet,3,1
3154,1944,Since You Went Away,3,1
5677,1945,Keep Your Powder Dry,3,1
9005,1945,Wicked Lady. The,3,1
4428,1945,Rome. Open City,3,1
6848,1945,Thin Man Goes Home,2,0
2434,1945,Enchanted Cottage. The,3,1
1213,1945,I Know Where I&#39;m Going,3,1
3999,1945,Detour,1,0
6017,1945,Anchors Aweigh,0,0
7835,1945,Les dames du Bois de Boulogne,3,1
7185,1945,Dead of Night,3,1
1280,1945,Seventh Veil. The,3,1
5856,1945,Woman in Green. The,3,1
794,1945,Mildred Pierce,3,1
1544,1945,Brief Encounter,3,1
3271,1945,Objective. Burma!,0,0
5129,1945,Children of Paradise,2,0
5081,1945,Scarlet Street,3,1
4252,1945,Spellbound,3,1
6945,1945,Red Dragon. The,1,0
1639,1945,Along Came Jones,0,0
2004,1945,Isle of the Dead,3,1
3583,1945,Lost Weekend. The,2,0
1231,1946,Stairway to Heaven,0,0
9182,1946,Great Expectations,2,0
5872,1946,Terror by Night,1,0
1381,1946,Devotion,3,1
2809,1946,Gilda,0,0
8354,1946,Years Between. The,3,1
1377,1946,Deception,0,0
4002,1946,Dressed to Kill,3,1
1424,1946,Postman Always Rings Twice. The,1,0
8052,1946,Make Mine Music,1,0
7671,1946,Stranger. The,3,1
3145,1946,Strange Woman. The,3,1
2235,1946,It&#39;s a Wonderful Life,3,1
1680,1946,Two Sisters from Boston,3,1
4900,1946,Duel in the sun,2,0
1268,1946,Beauty and the Beast,3,1
3982,1946,Best Years of Our Lives. The,2,0
2654,1946,Jolson Story. The,1,0
5961,1946,Dark Corner. The,1,0
5497,1946,Chase. The,1,0
786,1946,Harvey Girls. The,3,1
3783,1946,My Darling Clementine,1,0
622,1946,Notorious,2,0
5646,1946,Song of the South,2,0
971,1946,Big Sleep. The,1,0
8729,1947,Unfinished Dance. The,3,1
8053,1947,Fun &amp; Fancy Free,1,0
2330,1947,Paradine Case. The,2,0
2287,1947,Egg and I. The,3,1
5779,1947,Calendar Girl,2,0
1681,1947,Shocking Miss Pilgrim. The,3,1
7432,1947,Nada,3,1
3047,1947,Ghost and Mrs. Muir. The,3,1
6550,1947,Build My Gallows High,2,0
8756,1947,Lady from Shanghai. The,0,0
3112,1947,Gunfighters,2,0
8646,1947,Dishonored Lady,3,1
8989,1947,Miracle on 34th Street,3,1
1211,1947,Black Narcissus,3,1
1278,1947,Odd Man Out,2,0
1679,1947,Good News,2,0
8619,1947,Body and Soul,3,1
4411,1947,Crossfire,2,0
1235,1947,Exile. The,1,0
1320,1948,Red River,0,0
2445,1948,Mr. Blandings Builds His Dream House,3,1
1601,1948,Rudolph the Red-Nosed Reindeer,0,0
6517,1948,Bicycle Thieves,2,0
3239,1948,Treasure of the Sierra Madre. The,0,0
1241,1948,Enchantment,3,1
1262,1948,Anna Karenina,2,0
1677,1948,Easter Parade,3,1
4390,1948,I Remember Mama,3,1
2300,1948,Fuller Brush Man. The,1,0
8264,1948,Macbeth,1,0
5115,1948,Call Northside 777,1,0
2256,1948,Casbah,1,0
1229,1948,Red Shoes. The,3,1
1236,1948,Bonnie Prince Charlie,2,0
1354,1948,Command Decision,0,0
4944,1948,Act of Violence,2,0
1232,1948,Hamlet,1,0
8054,1948,Melody Time,1,0
6363,1948,Joan of Arc,3,1
8559,1948,It Happened in Europe,0,0
2098,1948,Snake Pit. The,3,1
2040,1948,Rope,0,0
4554,1949,Fountainhead. The,1,0
7341,1949,Under Capricorn,3,1
7018,1949,I Was a Male War Bride,2,0
7059,1949,Adventures of Ichabod and Mr. Toad. The,0,0
6358,1949,Heiress. The,3,1
1736,1949,Pinky,3,1
2232,1949,Little Women,3,1
1841,1949,Caught,3,1
1684,1949,Barkleys of Broadway. The,3,1
1716,1949,Adam&#39;s Rib,3,1
2651,1949,Mighty Joe Young,0,0
3967,1949,A Letter to Three Wives,3,1
1690,1949,On the Town,3,1
2849,1949,Man on the Eiffel Tower. The,2,0
1986,1949,Set-Up. The,0,0
4008,1949,Kind Hearts and Coronets,1,0
3539,1949,Late Spring,3,1
611,1949,Third Man. The,0,0
4521,1950,Odette,3,1
1678,1950,Summer Stock,3,1
3295,1950,Orpheus,2,0
5232,1950,No Way Out,3,1
4417,1950,In a Lonely Place,2,0
5350,1950,D.O.A.,1,0
2596,1950,Harvey,2,0
6233,1950,Stage Fright,3,1
7144,1950,Scandal,3,1
1402,1950,Rashomon,0,0
1057,1950,Cinderella,3,1
8363,1950,Three Secrets,3,1
3990,1950,Born Yesterday,3,1
2099,1950,Asphalt Jungle. The,1,0
608,1950,Sunset Blvd.,3,1
139,1950,All About Eve,3,1
7836,1950,Les enfants terribles,3,1
4031,1950,Flying Saucer. The,1,0
7157,1951,Idiot. The,3,1
5739,1951,Cause for Alarm!,3,1
871,1951,Ace In The Hole,2,0
1417,1951,Strangers on a Train,2,0
1916,1951,Day the Earth Stood Still. The,3,1
1491,1951,African Queen. The,0,0
3222,1951,Early Summer,3,1
2930,1951,A Streetcar Named Desire,3,1
3825,1951,Bellissima,3,1
6498,1951,Westward the Women,3,1
2989,1951,Diary of a Country Priest,1,0
5092,1951,Quo Vadis,3,1
3293,1951,Thing from Another World. The,1,0
7435,1951,Surcos,3,1
3389,1951,An American in Paris,1,0
1207,1951,Alice in Wonderland,3,1
4510,1951,Take Care of My Little Girl,3,1
2977,1951,Show Boat,3,1
1689,1952,Lovely to Look at,3,1
5972,1952,Forbidden Games,3,1
7323,1952,Bad and the Beautiful. The,2,0
1465,1952,Big Sky. The,0,0
2737,1952,Quiet Man. The,1,0
6917,1952,Limelight,1,0
612,1952,Singin&#39; in the Rain,3,1
1243,1952,Magic Box. The,2,0
7162,1952,Ikiru,1,0
3403,1952,Clash by Night,3,1
8241,1952,Europe &#39;51,3,1
2704,1952,High Noon,2,0
6941,1952,Snows of Kilimanjaro. The,1,0
4909,1953,How to Marry a Millionaire,3,1
8011,1953,Inferno,0,0
2427,1953,Calamity Jane,3,1
3303,1953,Shane,1,0
1692,1953,Band Wagon. The,1,0
2547,1953,Gentlemen Prefer Blondes,3,1
9290,1953,House of Wax,3,1
7900,1953,Beast from 20.000 Fathoms. The,1,0
4071,1953,From Here to Eternity,3,1
1630,1953,Tokyo Story,3,1
9004,1953,earrings of Madame de.... The,3,1
8466,1953,5.000 Fingers of Dr. T.. The,0,0
4301,1953,Hitch-Hiker. The,0,0
2375,1953,War of the Worlds. The,1,0
5937,1953,Mr. Hulot&#39;s Holiday,3,1
1362,1953,Mogambo,2,0
2553,1953,Cruel Sea. The,3,1
7693,1953,Wild One. The,1,0
1272,1953,Julius Caesar,1,0
4854,1953,Big Heat. The,3,1
3125,1953,Salome,3,1
1883,1953,Stalag 17,0,0
4616,1953,I Confess,1,0
8634,1953,It Came from Outer Space,2,0
1444,1953,Le Salaire de la Peur,1,0
1118,1953,Peter Pan,3,1
5366,1953,Fear and Desire,0,0
6797,1953,Glen or Glenda,0,0
1554,1953,Roman holiday,3,1
3958,1953,Mesa of Lost Women,1,0
5998,1953,Summer with Monika,3,1
3124,1953,Miss Sadie Thompson,3,1
5973,1953,Ugetsu,2,0
5736,1953,Pickup on South Street,3,1
5124,1954,Attila,2,0
4710,1954,Late Chrysanthemuns,3,1
8441,1954,Carmen Jones,3,1
2294,1954,Sabrina,3,1
657,1954,Touchez pas au grisbi,1,0
2746,1954,Knock on Wood,1,0
2426,1954,Hobson&#39;s Choice,3,1
3600,1954,Shichinin no samurai,0,0
2158,1954,Them!,1,0
2132,1954,Rear Window,3,1
5505,1954,Gojira,1,0
4048,1954,Three Coins in the Fountain,3,1
9176,1954,Jail Bait,3,1
5356,1954,Salt of the Earth,3,1
3925,1954,Executive Suite,2,0
1812,1954,On the Waterfront,0,0
7610,1954,Comicos,3,1
9054,1954,Miseria e nobilta,3,1
1351,1954,Seven Brides for Seven Brothers,3,1
1694,1954,Johnny Guitar,2,0
1391,1954,White Christmas,3,1
3337,1954,Dial M for Murder,0,0
7580,1954,Uwasa no onna,3,1
7346,1954,Animal Farm,0,0
3674,1954,A Star Is Born,1,0
4883,1954,Creature from the Black Lagoon,0,0
1965,1954,20000 Leagues Under the Sea,0,0
3993,1954,Glenn Miller Story. The,2,0
8109,1954,An American in Rome,1,0
3954,1954,Journey to Italy,3,1
586,1954,Phffft,2,0
6055,1955,Godzilla Raids Again,2,0
3739,1955,We&#39;re No Angels,3,1
3339,1955,Big Combo. The,2,0
2344,1955,Diabolique,3,1
2115,1955,Guys and Dolls,3,1
6481,1955,Glass Slipper. The,3,1
